"provider_name","address1","address2","city","county","state_code","zip","national_drug_code","order_label","last_order_date","last_date_delivered","total_courses","courses_available","courses_available_date","geocoded_address","npi"
"Walgreens Store #00055","2505 CARR 841",,"GUAYNABO","Guaynabo","PR","00969","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"20","0","2022-01-18T00:00:00.000",,"1346256781"
"Walgreens Store #00183","4210 CARR 693",,"DORADO","Dorado","PR","00646","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"40","12","2022-01-18T00:00:00.000",,"1891700951"
"Rite Aid 07894","4999 JONESTOWN RD",,"HARRISBURG","DAUPHIN","PA","17109-1743","0069-1085-30","Paxlovid","2022-01-13T00:00:00.000","2022-01-17T00:00:00.000","100","57","2022-01-18T00:00:00.000","POINT (-76.805666 40.306305)",
"LTBB of Odawa Indians","1260 Ajijaak Ave",,"Petoskey","EMMET","MI","49770","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000","2022-01-17T00:00:00.000","20","20","2022-01-17T00:00:00.000",,"1720360332"
"Medina Memorial Hospital","200 Ohio Street",,"Medina","ORLEANS","NY","14103","0310-7442-02","Evusheld","2022-01-04T00:00:00.000","2021-12-28T00:00:00.000","48","48","2022-01-12T00:00:00.000","POINT (-78.397073 43.22369)",
"Hickory Hill Pharmacy","109 Hickory Hill Drive",,"Helena","PHILLIPS","AR","72342","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"20",,,,"1194718411"
"Neil Medical Group Burlington","509 S. Lexington Ave",,"Burlington","ALAMANCE","NC","27215","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000","2022-01-14T00:00:00.000","20","21","2022-01-14T00:00:00.000","POINT (-79.437157 36.090604)",
"Walgreens Store #10615","5345 N I H 35",,"AUSTIN","TRAVIS","TX","78723","0069-1085-30","Paxlovid","2022-01-11T00:00:00.000","2022-01-14T00:00:00.000","20","0","2022-01-18T00:00:00.000","POINT (-97.708174 30.312999)","1225043276"
"CITY DRUG","201 E GAINES ST",,"MONTICELLO","DREW","AR","71655","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"20",,,"POINT (-91.78969 33.628928)","1740371475"
"Walmart Pharmacy #331","525 N CITIES SER HWY",,"Sulphur","CALCASIEU","LA","70663","0006-5055-06","Molnupiravir","2022-01-14T00:00:00.000",,"20",,,,"1609893973"
